distance_m,altitude_m
24082.3,14.2
24109.1,14.0
24135.8,13.8
24162.4,13.8
24202.5,12.6
24230.4,11.4
24259.3,10.2
24288.4,10.0
24316.7,10.2
24343.8,10.6
24382.4,10.8
24407.4,10.8
24431.8,11.0
24468.2,10.4
24493.1,9.8
24518.8,9.0
24558.0,8.0
24584.6,7.4
24611.4,6.8
24638.2,6.4
24678.3,5.0
24705.8,4.2
24733.6,3.4
24761.6,2.6
24789.8,1.8
24817.6,1.8
24857.2,2.0
24882.7,1.8
24908.1,1.4
24946.1,1.2
24970.9,1.2
24995.3,1.2
25031.1,1.2
25054.4,1.4
25088.9,1.4
25123.6,1.4
25146.6,1.4
25181.3,1.4
25204.3,1.4
25238.7,1.4
25272.8,1.4
25295.5,1.4
25329.9,1.4
25352.8,1.4
25387.2,1.2
25421.6,1.2
25444.6,1.2
25479.0,1.0
25502.0,1.0
25536.8,1.0
25560.0,1.0
25594.8,1.0
25629.4,1.2
25652.2,1.2
25686.3,1.6
25709.1,1.8
25742.9,2.2
25776.4,2.4
25798.7,2.4
25831.8,2.4
25864.9,2.4
25887.1,2.4
25920.6,2.4
25954.2,2.4
25976.4,2.4
26009.7,2.4
26042.6,2.4
26075.1,2.4
26096.6,2.4
26129.0,2.4
26161.5,2.2
26193.9,2.2
26215.6,2.2
26248.2,2.2
26280.5,2.2
26312.5,2.2
26333.9,2.2
26365.6,2.2
26397.7,2.2
26429.9,2.2
26462.2,2.2
26483.8,2.2
26516.1,2.2
26548.4,2.2
26579.7,3.6
26607.2,5.0
26633.4,6.4
26667.8,7.8
26692.8,8.8
26726.4,9.4
26753.7,9.6
26782.5,9.6
26812.6,9.6
26843.5,9.6
26874.8,9.6
26906.2,9.6
26927.4,9.4
26959.4,9.4
26989.9,10.6
27018.1,11.8
27055.8,12.4
27086.0,12.4
27106.8,12.4
27138.7,12.4
27172.5,11.0
27197.3,9.8
27223.4,9.4
27262.1,9.6
27287.3,9.6
27324.6,9.6
27349.2,9.6
27373.8,9.6
27410.7,9.6
27435.3,9.4
27472.7,9.4
27497.5,9.4
27522.2,9.6
27558.6,9.6
27582.5,9.6
27618.0,9.6
27641.4,9.6
27676.2,9.6
27710.9,9.6
27734.0,9.6
27768.4,9.6
27791.3,9.6
27825.5,9.6
27859.7,9.6
27882.4,9.6
27916.4,10.0
27938.7,10.2
27971.9,10.4
28005.4,10.4
28027.9,10.4
28062.1,10.4
28095.9,10.4
28118.6,10.4
28152.6,10.4
28186.3,10.4
28208.7,10.4
28242.3,10.4
28264.9,10.4
28299.6,10.4
28335.0,10.4
28358.8,10.4
28395.3,10.4
28419.7,10.4
28444.2,10.4
28481.0,10.4
28505.8,10.4
28543.1,10.4
28567.9,10.4
28592.8,10.2
28630.2,10.4
28654.7,10.8
28689.9,11.8
28712.5,12.2
28746.1,12.4
28780.0,12.6
28802.7,12.8
28836.1,13.4
28868.5,13.2
28890.8,12.8
28925.6,12.0
28949.7,11.4
28986.8,10.2
29012.3,9.6
29038.2,8.8
29078.0,7.6
29105.2,6.6
29132.7,5.8
29160.3,5.0
29187.9,4.4
29215.4,3.8
29256.9,3.0
29284.8,2.6
29312.5,2.0
29340.3,1.8
29367.8,1.6
29395.0,1.4
29435.0,1.4
29461.5,1.4
29487.8,1.6
29513.9,1.6
29553.0,1.6
29579.2,1.6
29605.5,1.6
29631.7,1.6
29671.1,1.6
29697.2,1.6
