distance_m,altitude_m
15624.900000000001,125.4
15654.5,125.4
15677.6,125.6
15700.6,125.6
15728.7,125.6
15750.7,125.8
15777.300000000001,125.8
15805.2,125.8
15827.1,125.8
15854.7,125.8
15876.900000000001,125.8
15904.800000000001,125.8
15927.2,125.8
15955.5,125.8
15977.800000000001,126.0
16005.1,125.8
16028.5,125.6
16052.300000000001,125.6
16082.5,125.6
16106.6,125.6
16130.400000000001,125.6
16154.2,125.6
16177.900000000001,125.6
16207.2,125.6
16230.6,125.6
16253.900000000001,125.6
16282.800000000001,125.6
16306.1,125.6
16329.2,125.6
16357.900000000001,125.6
16380.900000000001,125.6
16403.9,125.6
16432.600000000002,125.6
16455.5,125.6
16484.3,125.6
16507.2,125.6
16530.100000000002,125.6
16559.0,125.6
16582.0,125.6
16605.0,125.6
16633.600000000002,125.6
16656.600000000002,125.6
16685.2,125.6
16707.600000000002,125.6
16730.5,125.4
16759.2,125.6
16782.2,125.6
16810.600000000002,125.6
16832.9,125.6
16860.0,125.8
16884.7,126.4
16909.2,126.8
16933.100000000002,127.4
16960.100000000002,127.6
16984.100000000002,127.4
17011.3,127.4
17035.2,127.6
17060.5,127.2
17083.8,126.8
17108.7,126.8
17137.2,127.4
17162.5,127.6
17183.0,127.4
17209.600000000002,127.4
17236.5,127.4
17258.3,127.4
17284.8,127.4
17311.600000000002,127.4
17337.3,127.4
17362.0,127.4
17386.5,127.6
17412.3,127.4
17437.5,127.8
17459.7,127.8
17484.9,127.8
17512.0,127.8
17535.9,127.8
17560.8,127.8
17586.600000000002,127.8
17613.0,127.8
17640.0,127.8
17661.9,127.8
17689.8,127.8
17712.7,127.6
17736.100000000002,127.6
17766.2,127.4
17790.5,127.4
17815.3,127.2
17840.2,127.2
17865.100000000002,127.0
17890.0,127.0
17915.2,127.0
17940.4,126.8
17965.8,126.8
17991.3,126.6
18017.3,126.4
18037.600000000002,126.2
18065.5,125.8
18087.0,125.6
18116.2,125.2
18138.2,125.2
18166.0,125.6
18190.9,125.8
18215.2,125.6
18242.100000000002,125.2
18266.4,126.0
18288.7,125.6
18314.7,125.0
18342.0,125.0
18368.9,125.0
18388.4,125.0
18413.7,125.0
18444.3,125.2
18468.0,125.2
18491.5,125.2
18514.4,125.2
18542.8,125.4
18565.2,125.4
18592.8,125.4
18620.0,125.4
18641.7,125.6
18668.600000000002,125.6
18695.3,125.6
18716.5,125.8
18742.8,125.8
18768.600000000002,126.0
18793.3,126.2
18819.3,126.8
18842.100000000002,127.2
18869.8,127.0
18895.3,126.8
18920.600000000002,127.0
18943.600000000002,127.4
18968.600000000002,127.8
18993.0,128.4
19020.5,129.2
19045.0,129.6
19069.9,129.8
19095.7,129.8
19120.9,129.8
19143.5,129.8
19171.7,130.0
19196.5,130.8
19219.4,131.6
19245.7,132.4
19270.100000000002,133.4
19296.2,134.6
19321.100000000002,135.8
19345.2,136.4
19370.600000000002,137.8
19396.4,139.0
19421.5,140.0
19445.9,140.8
19471.9,141.8
19496.7,142.8
19521.3,143.4
19548.3,143.8
19572.100000000002,143.8
19597.0,143.6
19624.7,143.6
19648.7,143.6
19672.9,143.8
19698.100000000002,144.6
19723.2,145.8
19748.4,147.0
19773.4,147.4
19796.7,146.8
19824.8,146.6
19849.0,148.6
19873.8,151.0
19898.5,153.4
19923.8,155.2
19949.600000000002,156.2
19974.5,157.2
19999.100000000002,157.8
20023.8,158.2
20049.8,159.0
20075.3,160.2
20100.3,161.2
20124.9,161.8
20150.5,162.4
20174.3,162.4
20198.3,162.4
20225.9,162.2
20250.600000000002,162.4
20276.7,163.2
20300.5,164.0
20325.100000000002,165.0
20351.600000000002,166.0
20376.9,166.8
20400.5,167.6
20426.0,168.6
20451.8,169.8
20477.0,171.0
20501.100000000002,172.0
20527.3,173.2
20552.3,174.2
20577.7,174.8
20602.5,175.6
20627.5,176.4
20653.2,177.4
20678.4,178.4
20703.2,179.2
20728.600000000002,180.4
20752.8,181.2
20777.3,181.8
